GEOGRAPHIC AREA,Acres irrigated - Investigating improvements not a priority,Acres irrigated - Risk of reduced yield or poorer crop quality,Acres irrigated - Physical field or crop conditions limit system improvements,Acres irrigated - Cannot finance improvements,Acres irrigated - Landlord will not share in cost,Acres irrigated - Uncertainty about future availability of water,Acres irrigated - Will not be farming this operation long enough to justify improvements,Acres irrigated - Improvements will increase management time or cost
United States,5026403.0,6367477.0,4666302.0,8636826.0,7168245.0,6712674.0,2704042.0,4158248.0
Alabama,25775.0,17730.0,16956.0,27342.0,20310.0,13729.0,,14316.0
Alaska ,222.0,122.0,19.0,162.0,,11.0,,16.0
Arizona ,59112.0,150187.0,143945.0,160323.0,209924.0,123484.0,104240.0,54433.0
Arkansas ,488832.0,424880.0,470769.0,802832.0,1040961.0,144458.0,259035.0,504297.0
California ,521037.0,1138629.0,789906.0,1401889.0,711676.0,1698260.0,418344.0,774074.0
Colorado ,217117.0,235963.0,213990.0,481058.0,217279.0,683912.0,123631.0,139058.0
Connecticut ,714.0,188.0,99.0,861.0,,57.0,228.0,301.0
Delaware ,14245.0,9794.0,13351.0,9071.0,12556.0,6324.0,10811.0,7417.0
Florida ,101580.0,66475.0,37701.0,109037.0,45124.0,23131.0,72646.0,51968.0
Georgia ,113373.0,131468.0,82496.0,59657.0,125234.0,94704.0,16354.0,206768.0
Hawaii ,2363.0,1131.0,2000.0,5160.0,4455.0,832.0,148.0,2215.0
Idaho ,288706.0,511743.0,383515.0,523588.0,498607.0,328389.0,180911.0,158516.0
Illinois ,84549.0,93259.0,39167.0,31850.0,71777.0,8836.0,25655.0,56931.0
Indiana ,94534.0,75483.0,41253.0,29456.0,63830.0,,32501.0,23582.0
Iowa ,33279.0,32685.0,27666.0,280.0,23750.0,6483.0,20320.0,22.0
Kansas ,142644.0,459843.0,171052.0,348123.0,382489.0,605811.0,67197.0,105971.0
Kentucky ,18101.0,6154.0,14019.0,4871.0,19100.0,92.0,1246.0,12446.0
Louisiana ,230308.0,147237.0,158249.0,148320.0,344857.0,26652.0,22152.0,94461.0
Maine ,2753.0,1298.0,1504.0,5168.0,,,198.0,341.0
Maryland ,18200.0,9660.0,3739.0,12944.0,7760.0,2864.0,9640.0,10806.0
Massachusetts ,3276.0,1370.0,722.0,3271.0,831.0,330.0,1030.0,2806.0
Michigan ,68600.0,114642.0,80293.0,75509.0,92236.0,19316.0,137523.0,111208.0
Minnesota ,57127.0,70072.0,41454.0,75928.0,67081.0,27656.0,29611.0,64242.0
Mississippi ,165220.0,116983.0,60742.0,213638.0,290159.0,58666.0,121847.0,218450.0
Missouri ,379217.0,95816.0,40795.0,205526.0,106169.0,7539.0,49547.0,296934.0
Montana ,215779.0,85416.0,206185.0,384300.0,153645.0,209477.0,61185.0,95179.0
Nebraska ,433485.0,1113197.0,489479.0,1047865.0,1421646.0,511909.0,249548.0,348086.0
Nevada ,136395.0,22520.0,40956.0,159194.0,39929.0,33169.0,28400.0,26544.0
New Hampshire ,165.0,319.0,149.0,152.0,8.0,,26.0,40.0
New Jersey ,5635.0,5248.0,5364.0,14838.0,4934.0,1204.0,4951.0,4611.0
New Mexico ,29198.0,14686.0,35282.0,71260.0,18452.0,128227.0,14257.0,22081.0
New York ,13647.0,4304.0,1139.0,2981.0,187.0,7048.0,3767.0,6956.0
North Carolina ,19744.0,11141.0,5449.0,28171.0,7209.0,4616.0,4984.0,5157.0
North Dakota ,20507.0,18738.0,15297.0,43767.0,44211.0,11308.0,3581.0,28007.0
Ohio ,6342.0,6937.0,4962.0,2563.0,,1296.0,3338.0,5537.0
Oklahoma ,93667.0,53095.0,18799.0,44698.0,92931.0,23238.0,97891.0,30619.0
Oregon ,115008.0,118516.0,120632.0,299299.0,132043.0,282954.0,60537.0,114225.0
Pennsylvania ,7045.0,894.0,2726.0,4954.0,72.0,,994.0,1100.0
Rhode Island ,108.0,,92.0,499.0,376.0,47.0,111.0,31.0
South Carolina ,35960.0,17545.0,14301.0,9732.0,10778.0,2424.0,14957.0,18532.0
South Dakota ,51838.0,33353.0,71779.0,20161.0,46242.0,4174.0,43141.0,32947.0
Tennessee ,16004.0,18351.0,12140.0,32210.0,20105.0,17.0,10665.0,16394.0
Texas ,315714.0,501057.0,312632.0,770358.0,401207.0,1246421.0,229636.0,264811.0
Utah ,77724.0,105014.0,142691.0,354284.0,27335.0,106673.0,33772.0,56409.0
Vermont ,388.0,,247.0,253.0,,14.0,55.0,118.0
Virginia ,6502.0,6084.0,4344.0,4472.0,1435.0,1839.0,2930.0,9615.0
Washington ,110845.0,171067.0,147439.0,230099.0,221099.0,96794.0,85769.0,76926.0
West Virginia ,364.0,261.0,38.0,420.0,153.0,22.0,0.0,222.0
Wisconsin ,56800.0,40066.0,29630.0,94475.0,64808.0,1016.0,8146.0,12232.0
Wyoming ,126655.0,106736.0,149148.0,279957.0,102442.0,152442.0,35088.0,70290.0
Region 01 New England ,7109.0,3255.0,2590.0,9983.0,1489.0,1480.0,1598.0,3565.0
Region 02 Mid Atlantic ,61177.0,33813.0,28143.0,46871.0,26399.0,19675.0,32244.0,37170.0
Region 03 South Atlantic Gulf ,293922.0,245161.0,153602.0,236657.0,195886.0,132722.0,110811.0,297744.0
Region 04 Great Lakes ,96290.0,142763.0,85972.0,88445.0,124867.0,19772.0,145037.0,124227.0
Region 05 Ohio ,49631.0,58051.0,26563.0,21392.0,61763.0,6736.0,31510.0,35504.0
Region 06 Tennessee ,8995.0,11793.0,11847.0,4584.0,,6040.0,,492.0
Region 07 Upper Mississippi ,265609.0,217700.0,142125.0,209582.0,181318.0,25867.0,60986.0,109488.0
Region 08 Lower Mississippi ,1160318.0,765355.0,586600.0,1245899.0,1645143.0,222109.0,389953.0,1053209.0
Region 09 Souris Red Rainy ,17577.0,9927.0,4443.0,18968.0,22540.0,9280.0,9362.0,25921.0
Region 10 Missouri ,922133.0,1632812.0,1013079.0,1857732.0,1971466.0,1228271.0,465026.0,619394.0
Region 11 Arkansas White Red ,408535.0,461011.0,413480.0,805899.0,689109.0,981525.0,232962.0,321169.0
Region 12 Texas Gulf ,237954.0,418681.0,217114.0,475697.0,248960.0,888422.0,211057.0,136396.0
Region 13 Rio Grande ,38476.0,46246.0,88689.0,198111.0,87121.0,248263.0,27961.0,34626.0
Region 14 Upper Colorado ,135786.0,112124.0,125518.0,290194.0,31722.0,212781.0,39701.0,73701.0
Region 15 Lower Colorado ,60187.0,162992.0,164186.0,196637.0,230344.0,123856.0,104300.0,69070.0
Region 16 Great Basin ,187801.0,96238.0,178717.0,481840.0,79922.0,108472.0,59010.0,79417.0
Region 17 Pacific Northwest ,543281.0,818734.0,629628.0,1046900.0,852933.0,723104.0,352530.0,367043.0
Region 18 California ,529037.0,1129568.0,791987.0,1396113.0,699486.0,1753456.0,423604.0,767881.0
Region 19 Alaska ,222.0,122.0,19.0,162.0,,11.0,,16.0
Region 20 Hawaii ,2363.0,1131.0,2000.0,5160.0,4455.0,832.0,148.0,2215.0
