huc6,Year,Land in farms,Total cropland,Harvested cropland,Other pasture and grazing land that could have been used for crops without additional improvement,Cropland idle or used for cover crops or soil-improvement but not harvested and not pastured or grazed,Cropland on which all crops failed or were abandoned,Cropland in summer fallow,Total woodland,Woodland pastured,Woodland not pastured,"Permanent pasture and rangeland, other than cropland and woodland pastured","Land in farmsteads, homes, buildings, livestock facilities, ponds, roads, wasteland, etc.",Irrigated land,Harvested cropland,Pastureland and other land,Cropland on which no-till practices were used,"Cropland on which conservation or reduced tillage, excluding no till, practices were used (see text)"
180101,2022,1584901,163380,111505,31937,15490,2696,1752,504906,301798,203108,790958,125657,111897,97786,14111,1732,2502
180101,2017,1847207,186469,119007,37395,21779,1513,6775,554018,311903,242115,953968,152752,125387,102587,22800,2947,1799
180102,2022,1216990,333751,234108,28496,39737,16691,14719,152675,107094,45581,638460,92104,253171,198468,54703,9818,22810
180102,2017,1260192,305822,222976,31241,30939,8883,11783,197476,139580,57896,669744,87150,297289,191812,105477,15576,17077
180200,2022,790413,165638,111711,25455,21010,2845,4617,78174,29081,49093,496595,50006,131244,98266,32978,1916,4847
180200,2017,909381,161700,122278,16675,9082,5099,8566,84576,26068,58508,605287,57818,163285,110233,53052,2605,5867
180201,2022,3956840,1685465,1242597,67056,149953,65767,160092,285743,205369,80374,1758374,227258,1288964,1164156,124808,56247,146801
180201,2017,4196688,1794129,1491558,63894,113325,28973,96379,401456,242375,159081,1765737,235366,1495850,1369740,126110,54714,129739
180300,2022,5411004,3099231,2537697,93742,276592,52461,138739,66561,52905,13656,1987859,257353,2529062,2486056,43006,37353,268543
180300,2017,5435428,3112905,2556827,117059,266102,41691,131226,88117,69189,18928,1988666,245740,2459320,2416454,42866,55748,257536
180400,2022,4459159,2273485,1977702,42175,140001,26411,87196,164783,123937,40846,1763095,257796,2029572,1932675,96897,61305,180701
180400,2017,4424549,2062841,1843935,63811,94137,19250,41708,149478,123930,25548,2019876,192354,1862057,1759431,102626,58383,182375
180500,2022,1020165,211270,153965,19484,20417,3079,14325,147808,70024,77784,545012,116075,124891,116993,7898,3704,3806
180500,2017,1033735,210362,157608,26200,15655,2828,8071,112633,55068,57565,616701,94039,131251,120349,10902,4747,13813
180600,2022,3607356,835818,612655,84141,85836,13351,39835,240748,179279,61469,2320938,209852,593084,575730,17354,15149,87098
180600,2017,3578842,816915,558803,86701,116680,14574,40157,259626,184708,74918,2225647,276654,534268,522890,11378,11929,61798
180701,2022,420025,187712,133580,28888,17424,2743,5077,12695,6575,6120,182005,37613,131128,129268,1860,2639,13249
180701,2017,313749,147802,106769,11717,21467,2405,5444,10508,4977,5531,132275,23164,110080,107497,2583,1549,9569
180702,2022,115410,52836,34768,342,13316,3424,986,(D),(D),(D),41794,(D),27385,(D),(D),2526,(D)
180702,2017,140197,59879,45112,(D),(D),1835,(D),2869,400,2469,58015,19434,35735,34763,972,1536,709
180703,2022,242932,71297,48681,2265,12818,4759,2774,13242,8969,4273,107055,51338,45627,42439,3188,7044,4423
180703,2017,234044,81724,61936,1556,10907,4261,3064,14917,10742,4175,86978,50425,49998,48780,1218,5610,5480
180800,2022,465939,86911,71775,4058,2907,5076,3095,52963,49385,3578,311094,14971,79704,55070,24634,2946,4597
180800,2017,368295,66766,35175,5208,8493,13554,4336,27051,23983,3068,265278,9200,52093,30354,21739,1176,1567
180901,2022,198519,21925,16045,(D),(D),-,(D),-,-,-,172760,3834,28558,16031,12527,-,(D)
180901,2017,144880,10535,3940,(D),(D),(D),(D),(D),(D),(D),126809,(D),41367,3940,37427,1234,(D)
180902,2022,266806,109099,101016,(D),(D),(D),3157,431,314,117,148861,8415,95256,94714,542,769,2576
180902,2017,441111,96191,77389,7864,7846,61,3031,6510,4850,1660,320611,17799,87186,74954,12232,585,551
181001,2022,21224,19136,12455,(D),5035,(D),(D),(D),-,(D),423,(D),11746,(D),(D),1460,456
181001,2017,24028,17013,11676,71,3348,(D),(D),54,(D),(D),688,6273,10849,10809,40,140,(D)
181002,2022,828625,741518,665619,3655,55303,5132,11809,(D),(D),(D),32397,(D),654399,653169,1230,22419,60106
181002,2017,601014,550286,506402,3970,28670,732,10512,(D),368,(D),33741,(D),494737,494108,629,28392,78950